order_book_id,trade_date,pe_ttm,pe_lyr,pb_ttm,pb_lyr,pb_lf
000300.XSHG,2023-05-04,12.382470753835838,12.57442438584579,1.332391795831652,1.3204496968976933,1.279904628458535
000300.XSHG,2023-05-05,12.35274397239793,12.5442367784727,1.3291931030592845,1.3172796736995953,1.276831942408397
000300.XSHG,2023-05-08,12.631138500252177,12.826946991121662,1.3591492073208282,1.3469672842929206,1.3056079800685545
000300.XSHG,2023-05-09,12.492266963502573,12.685922661412413,1.34420620443246,1.3321582140956887,1.2912536297793034
000300.XSHG,2023-05-10,12.310807403712497,12.501650107167746,1.324680599765506,1.3128076155368533,1.2724972010284887
000300.XSHG,2023-05-11,12.255795162234083,12.445785063387861,1.318761114012354,1.3069411855625823,1.2668109027209973
000300.XSHG,2023-05-12,12.102187824822957,12.286134335265599,1.3016659739392842,1.2901761433554946,1.2505515938842657
000300.XSHG,2023-05-15,12.27837417,12.46499862,1.32061592,1.30895882,1.2687574
000300.XSHG,2023-05-16,12.20398328,12.38947702,1.31261471,1.30102824,1.26107039
000300.XSHG,2023-05-17,12.1223598,12.30661292,1.3038356,1.29232661,1.25263602
000300.XSHG,2023-05-18,12.1758292,12.36089502,1.30958656,1.29802682,1.25816116
000300.XSHG,2023-05-19,12.11940673,12.30361496,1.30351797,1.2920118,1.25233087
